ID,Title_Romaji,Title_English,Title_Native,Type,Format,Genres,Episodes,Season,Season_Year,Start,End,Source,Country,Studios,Authors_Staff,Status,Average_Score,Mean_Score,Popularity,Favourites
101921,Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen,Kaguya-sama: Love is War,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,ANIME,TV,"Comedy, Psychological, Romance, Slice of Life",12.0,WINTER,2019.0,2019-1-12,2019-3-30,MANGA,JP,A-1 Pictures,"Aka Akasaka (Original Creator), Kei Haneoka (Music), Yasuhiro Nakanishi (Series Composition), Shinichi Omata (Director), Yuuko Yahiro (Character Design)",FINISHED,83.0,83.0,461796,23049
127230,Chainsaw Man,Chainsaw Man,チェンソーマン,ANIME,TV,"Action, Drama, Horror, Supernatural",12.0,FALL,2022.0,2022-10-12,2022-12-28,MANGA,JP,MAPPA,"Tatsuki Fujimoto (Original Creator), Ryuu Nakayama (Director), Hiroshi Seko (Script (eps 1-12)), Tatsuya Yoshihara (Action Director), Kazutaka Sugiyama (Character Design)",FINISHED,84.0,84.0,458534,25599
4224,Toradora!,Toradora!,とらドラ！,ANIME,TV,"Comedy, Drama, Romance, Slice of Life",25.0,FALL,2008.0,2008-10-2,2009-3-26,LIGHT_NOVEL,JP,J.C.STAFF,"Rie Kugimiya (Theme Song Performance (OP)), Yui Horie (Theme Song Performance  (OP1, OP2, ED1, ED2)), Eri Kitamura (Theme Song Performance  (OP1, ED2)), Yuyuko Takemiya (Original Story), Yasu (Original Character Design)",FINISHED,78.0,78.0,458028,16164
105333,Dr. STONE,Dr. STONE,Dr.STONE,ANIME,TV,"Action, Adventure, Comedy, Sci-Fi",24.0,SUMMER,2019.0,2019-7-5,2019-12-13,MANGA,JP,TMS Entertainment,"Boichi (Original Character Design), Riichirou Inagaki (Original Story), Hiroaki Tsutsumi (Music), Shinya Iino (Director), Tatsuya Katou (Music)",FINISHED,81.0,81.0,454138,19149
21827,Violet Evergarden,Violet Evergarden,ヴァイオレット・エヴァーガーデン,ANIME,TV,"Drama, Fantasy, Slice of Life",13.0,WINTER,2018.0,2018-1-11,2018-4-5,LIGHT_NOVEL,JP,Kyoto Animation,"Taichi Ishidate (Director), Miho Karasawa (Theme Song Performance (OP)), Reiko Yoshida (Series Composition), Youta Tsuruoka (Sound Director), Akiko Takase (Character Design)",FINISHED,85.0,85.0,452913,29085
20613,Akame ga Kill!,Akame ga Kill!,アカメが斬る！,ANIME,TV,"Action, Adventure, Drama, Fantasy, Horror, Psychological, Thriller",24.0,SUMMER,2014.0,2014-7-7,2014-12-15,MANGA,JP,WHITE FOX,"Tetsuya Tashiro (Original Art), Takahiro (Original Story), Tomoki Kobayashi (Director), Hozumi Gouda (Sound Director), Taku Iwasaki (Music)",FINISHED,72.0,72.0,451134,11451
104276,Boku no Hero Academia 4,My Hero Academia Season 4,僕のヒーローアカデミア４,ANIME,TV,"Action, Adventure, Comedy, Drama, Sci-Fi",25.0,FALL,2019.0,2019-10-12,2020-4-4,MANGA,JP,bones,"Kouhei Horikoshi (Original Creator), Sayuri (Theme Song Performance (ED1)), BLUE ENCOUNT (Theme Song Performance (OP1)), Colleen Clinkenbeard (ADR Director (English)), Kenji Nagasaki (Chief Director)",FINISHED,78.0,78.0,450180,7874
20789,Nanatsu no Taizai,The Seven Deadly Sins,七つの大罪,ANIME,TV,"Action, Adventure, Comedy, Ecchi, Fantasy, Supernatural",24.0,FALL,2014.0,2014-10-5,2015-3-29,MANGA,JP,A-1 Pictures,"Nakaba Suzuki (Original Creator), Tensai Okamura (Director), Shoutarou Suga (Series Composition), Hiroyuki Sawano (Music), Shoutarou Suga (Script (eps 1, 2, 5, 8, 11, 12, 17, 20, 21, 24))",FINISHED,73.0,73.0,449155,8039
140960,SPY×FAMILY,SPY x FAMILY,SPY×FAMILY,ANIME,TV,"Action, Comedy, Slice of Life, Supernatural",12.0,SPRING,2022.0,2022-4-9,2022-6-25,MANGA,JP,"CloverWorks, WIT STUDIO","Tatsuya Endou (Original Creator), Kazuhiro Furuhashi (Director), Kazuaki Shimada (Character Design), (K)NoW_NAME (Music Production), Kyouji Asano (Chief Animation Director (eps 3, 5, 7, 9, 10))",FINISHED,84.0,84.0,443257,21812
21202,Kono Subarashii Sekai ni Shukufuku wo!,KONOSUBA -God's blessing on this wonderful world!,この素晴らしい世界に祝福を！,ANIME,TV,"Adventure, Comedy, Ecchi, Fantasy",10.0,WINTER,2016.0,2016-1-14,2016-3-17,LIGHT_NOVEL,JP,Studio DEEN,"Kurone Mishima (Original Character Design), Natsume Akatsuki (Original Story), Takaomi Kanasaki (Director), Makoto Uezu (Series Composition), Kouichi Kikuta (Character Design)",FINISHED,79.0,79.0,430518,18693
20623,Kiseijuu: Sei no Kakuritsu,Parasyte -the maxim-,寄生獣 セイの格率,ANIME,TV,"Action, Drama, Horror, Psychological, Sci-Fi",24.0,FALL,2014.0,2014-10-9,2015-3-26,MANGA,JP,MADHOUSE,"Fear, and Loathing in Las Vegas (Theme Song Performance (OP)), Daichi Miura (Theme Song Performance (ED)), Fryderyk Chopin (Insert Song Composition (eps 15, 23)), Manabu Tamura (Planning), Shouji Yonemura (Series Composition)",FINISHED,81.0,81.0,422004,14211
101348,VINLAND SAGA,Vinland Saga,ヴィンランド・サガ,ANIME,TV,"Action, Adventure, Drama",24.0,SUMMER,2019.0,2019-7-8,2019-12-30,MANGA,JP,WIT STUDIO,"Makoto Yukimura (Original Creator), Shuuhei Yabuta (Director), Hiroshi Seko (Series Composition), Hiroshi Seko (Script (eps 1-24)), Kenta Ihara (Script (eps 5-24))",FINISHED,87.0,87.0,420220,28201
124080,Horimiya,Horimiya,ホリミヤ,ANIME,TV,"Comedy, Romance, Slice of Life",13.0,WINTER,2021.0,2021-1-10,2021-4-4,MANGA,JP,CloverWorks,"Daisuke Hagiwara (Original Character Design), HERO (Original Story), Masashi Ishihama (Director), Takao Yoshioka (Series Composition), Haruko Iizuka (Character Design)",FINISHED,81.0,81.0,418438,23494
112151,Kimetsu no Yaiba: Mugen Ressha-hen,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,鬼滅の刃 無限列車編,ANIME,MOVIE,"Action, Adventure, Drama, Fantasy, Mystery, Supernatural",1.0,FALL,2020.0,2020-10-16,2020-10-16,MANGA,JP,ufotable,"Koyoharu Gotouge (Original Creator), Akira Matsushima (Character Design), Haruo Sotozaki (Director), LiSA (Theme Song Performance), LiSA (Theme Song Lyrics)",FINISHED,84.0,84.0,416681,10925
99423,Darling in the Franxx,DARLING in the FRANXX,ダーリン・イン・ザ・フランキス,ANIME,TV,"Action, Drama, Mecha, Psychological, Romance, Sci-Fi",24.0,WINTER,2018.0,2018-1-13,2018-7-7,ORIGINAL,JP,"TRIGGER, CloverWorks","Atsushi Nishigori (Director), Toshifumi Akai (Assistant Director), Atsushi Nishigori (Series Composition), Naotaka Hayashi (Series Composition), Masayoshi Tanaka (Character Design)",FINISHED,68.0,68.0,415897,13432
1575,Code Geass: Hangyaku no Lelouch,Code Geass: Lelouch of the Rebellion,コードギアス 反逆のルルーシュ,ANIME,TV,"Action, Drama, Mecha, Sci-Fi, Thriller",25.0,FALL,2006.0,2006-10-6,2007-7-28,ORIGINAL,JP,Sunrise,"CLAMP (Original Character Design), Gorou Taniguchi (Original Creator), Gorou Taniguchi (Director), Gorou Taniguchi (Storyboard (OP1, ep 1)), Ichirou Ookouchi (Original Creator)",FINISHED,85.0,85.0,401760,24148
